flag,filename,malware,ip,long_domain,port,blank_href
n,000104,0,0,0,1,0
n,000105,0,0,0,1,1
n,000106,0,0,0,1,0
n,000107,1,0,0,1,6
n,000108,0,0,0,1,3
n,000109,0,0,0,1,0
n,000110,0,0,0,1,1
n,000111,0,0,0,1,1
n,000112,0,0,1,1,5
d,000113,0,0,0,1,0
n,000114,0,0,0,1,0
n,000115,0,0,0,1,0
n,000116,0,0,0,1,0
n,000117,0,0,0,1,13
n,000118,0,0,0,1,2
n,000119,0,0,0,1,1
n,000120,0,0,0,1,0
n,000121,0,0,0,1,0
n,000122,0,0,0,1,0
n,000123,0,0,0,1,1
n,000124,0,0,0,1,6
n,000125,0,0,0,1,6
n,000126,1,0,0,1,0
n,000127,0,0,0,1,1
p,000128,0,0,0,1,0
n,000129,0,0,0,1,0
n,000130,0,0,0,1,0
n,000131,0,0,0,1,0
n,000132,0,0,0,1,184
n,000133,0,0,0,1,0
n,000134,0,0,0,1,1
n,000135,0,0,0,1,4
n,000136,0,0,0,1,0
n,000137,0,0,0,1,0
n,000138,0,0,0,1,0
n,000139,0,0,0,1,0
n,000140,0,0,0,1,0
n,000141,0,0,0,1,1
n,000142,0,0,0,1,0
n,000143,0,0,0,1,0
n,000144,0,0,0,1,0
n,000145,0,0,0,1,0
n,000146,0,0,0,1,0
n,000147,0,0,0,1,0
n,000148,0,0,0,1,0
n,000149,0,0,0,1,0
n,000150,0,0,0,1,0
n,000151,0,0,0,1,1
n,000152,0,0,0,1,0
n,000153,0,0,0,1,0
n,000154,0,0,0,1,2
n,000155,0,0,0,1,0
n,000156,0,0,0,1,0
n,000157,0,0,0,1,3
n,000158,0,0,0,1,0
n,000159,0,0,0,1,7
n,000160,0,0,0,1,3
n,000161,0,0,0,1,5
n,000162,0,0,0,1,1
n,000163,0,0,0,1,0
n,000164,0,0,0,1,39
n,000165,0,0,0,1,1
n,000166,0,0,0,1,1
n,000167,2,0,0,1,0
n,000168,0,0,0,1,12
n,000169,0,0,0,1,0
n,000170,0,0,0,1,0
n,000171,0,0,0,1,26
n,000172,0,0,0,1,0
n,000173,0,0,0,1,1
n,000174,0,0,0,1,0
n,000175,0,0,0,1,2
n,000176,0,0,0,1,5
n,000177,1,0,0,1,0
n,000178,0,0,0,1,0
n,000179,0,0,0,1,0
n,000180,0,0,0,1,0
n,000181,0,0,0,1,0
n,000182,0,0,0,1,0
n,000183,0,0,0,1,0
n,000184,0,0,0,1,0
n,000185,0,0,0,1,0
n,000186,0,0,0,1,0
n,000187,0,0,0,1,0
n,000188,0,0,0,1,1
n,000189,0,0,0,1,0
n,000190,0,0,0,1,1
n,000191,0,0,0,1,9
n,000192,0,0,0,1,0
n,000193,1,0,0,1,0
n,000194,0,0,0,1,0
n,000195,0,0,0,1,3
n,000196,1,0,0,1,0
n,000197,0,0,0,1,6
n,000198,0,0,0,1,0
n,000199,0,0,0,1,6
n,000200,0,0,0,1,0
n,000201,0,0,0,1,6
n,000202,0,0,0,1,0
n,000203,0,0,0,1,8
n,000204,0,0,0,1,6
n,000205,0,0,0,1,0
n,000206,0,0,0,1,0
n,000207,0,0,0,1,8
n,000208,0,0,0,1,0
n,000209,0,0,0,1,0
n,000210,0,1,0,1,0
d,000211,2,0,0,1,1
n,000212,0,0,0,1,2
n,000213,0,0,0,1,0
n,000214,1,0,0,1,3
n,000215,0,0,0,1,9
n,000216,0,0,0,1,10
n,000217,0,0,0,1,0
n,000218,0,0,0,1,54
n,000219,0,0,0,1,1
n,000220,0,0,0,1,1
n,000221,0,0,0,1,0
n,000222,0,0,0,1,0
n,000223,0,0,0,1,0
n,000224,0,0,0,1,0
n,000225,0,0,0,1,0
n,000226,0,0,0,1,0
n,000227,0,0,0,1,3
n,000228,0,0,0,1,0
n,000229,0,0,0,1,8
n,000230,0,0,0,1,0
n,000231,0,0,0,1,1
n,000232,0,0,0,1,0
n,000233,0,0,0,1,0
n,000234,0,0,0,1,1
n,000235,0,0,0,1,8
n,000236,0,0,0,1,0
n,000237,0,0,0,1,0
n,000238,0,0,0,1,9
n,000239,0,0,0,1,10
n,000240,0,0,0,1,0
n,000241,0,0,0,1,0
n,000242,0,0,0,1,0
n,000243,0,0,0,1,0
n,000244,0,0,0,1,1
n,000245,0,0,0,1,0
n,000246,0,0,0,1,0
n,000247,0,0,0,1,7
d,000248,5,0,0,1,0
n,000249,0,0,0,1,1
n,000250,0,0,0,1,6
n,000251,0,0,0,1,0
n,000252,0,0,0,1,0
n,000253,0,0,0,1,1
n,000254,0,0,0,1,0
n,000255,0,0,0,1,0
n,000256,0,0,0,1,11
n,000257,0,0,0,1,0
n,000258,1,0,0,1,0
n,000259,0,0,0,1,5
n,000260,0,0,0,1,0
n,000261,0,0,0,1,0
n,000262,0,0,0,1,0
n,000263,0,0,0,1,15
n,000264,0,0,0,1,1
n,000265,0,0,0,1,16
n,000266,0,0,0,1,6
n,000267,0,0,0,1,0
n,000268,0,0,0,1,0
n,000269,0,0,0,1,0
n,000270,0,0,1,1,0
n,000271,0,0,0,1,6
n,000272,0,0,1,1,0
n,000273,0,0,0,1,0
n,000274,0,0,0,1,0
n,000275,0,0,0,1,1
n,000276,0,0,0,1,0
n,000277,0,0,0,1,0
n,000278,0,0,0,1,9
n,000279,0,0,0,1,23
n,000280,0,0,0,1,0
n,000281,0,0,0,1,0
n,000282,0,0,0,1,0
n,000283,0,0,0,1,47
n,000284,0,0,0,1,0
n,000285,0,0,0,1,0
n,000286,0,0,0,1,6
n,000287,0,0,0,1,4
n,000288,0,0,0,1,0
n,000289,0,0,0,1,8
n,000290,0,0,0,1,10
n,000291,1,0,0,1,13
n,000292,0,0,0,1,0
n,000293,0,0,1,1,0
n,000294,0,0,0,1,0
n,000295,0,0,0,1,0
n,000296,0,0,0,1,0
n,000297,0,0,0,1,2
n,000298,0,0,0,1,0
n,000299,0,0,0,1,0
n,000300,0,0,0,1,0
n,000301,0,0,0,1,37
n,000302,0,0,0,1,0
n,000303,0,0,0,1,22
n,000304,0,0,0,1,1
n,000305,0,0,0,1,4
n,000306,0,0,0,1,60
n,000307,0,0,0,1,1
n,000308,0,0,0,1,0
n,000309,0,0,0,1,2
n,000310,0,0,0,1,0
n,000311,0,0,0,1,0
n,000312,0,0,0,1,0
n,000313,0,0,0,1,0
n,000314,0,0,0,1,19
n,000315,0,0,0,1,1
n,000316,0,0,0,1,20
n,000317,0,0,0,1,0
n,000318,0,0,0,1,5
n,000319,0,0,0,1,0
n,000320,0,0,0,1,4
n,000321,0,0,0,1,2
n,000322,0,0,0,1,0
n,000323,0,0,0,1,2
n,000324,0,0,0,1,0
n,000325,0,0,0,1,0
p,000326,0,0,0,1,0
n,000327,0,0,0,1,0
n,000328,0,0,0,1,23
n,000329,0,0,0,1,0
n,000330,0,0,0,1,2
n,000331,0,0,0,1,0
n,000332,0,0,0,1,0
n,000333,0,0,0,1,0
n,000334,0,0,1,1,0
n,000335,0,0,0,1,3
n,000336,0,0,0,1,0
n,000337,0,0,0,1,1
n,000338,0,0,0,1,0
n,000339,0,0,0,1,0
n,000340,0,0,0,1,1
n,000341,0,0,0,1,0
n,000342,0,0,0,1,3
n,000343,2,0,0,1,0
n,000344,0,0,0,1,0
n,000345,0,0,0,1,1
n,000346,0,0,0,1,0
n,000347,0,0,0,1,0
n,000348,0,0,0,1,0
n,000349,0,0,0,1,0
n,000350,0,0,0,1,0
n,000351,0,0,0,1,0
n,000352,0,0,0,1,2
n,000353,0,0,0,1,0
n,000354,3,0,0,1,0
n,000355,0,0,0,1,1
n,000356,0,0,0,1,0
n,000357,0,0,0,1,0
n,000358,0,0,0,1,0
n,000359,0,0,0,1,0
n,000360,0,0,0,1,1
n,000361,0,0,0,1,4
n,000362,0,0,0,1,0
n,000363,0,0,0,1,0
n,000364,0,0,0,1,0
n,000365,0,0,0,1,2
n,000366,0,0,0,1,0
d,000367,1,0,0,1,0
n,000368,0,0,0,1,0
n,000369,0,0,0,1,1
n,000370,0,0,0,1,4
n,000371,0,0,0,1,0
n,000372,0,0,0,1,3
n,000373,0,0,0,1,0
n,000374,0,0,0,1,2
n,000375,0,0,0,1,17
n,000376,1,0,0,1,0
n,000377,0,0,0,1,0
n,000378,0,0,0,1,0
n,000379,0,0,0,1,0
n,000380,0,0,0,1,20
n,000381,0,0,0,1,0
n,000382,0,0,0,1,0
n,000383,0,0,0,1,0
n,000384,0,0,0,1,0
n,000385,0,0,0,1,7
n,000386,0,0,0,1,2
n,000387,0,0,0,1,0
n,000388,0,0,0,1,2
n,000389,0,0,0,1,0
n,000390,0,0,0,1,0
n,000391,0,0,0,1,0
n,000392,0,0,0,1,0
n,000393,0,0,0,1,0
n,000394,0,0,0,1,0
n,000395,0,0,0,1,0
n,000396,0,0,0,1,1
n,000397,0,0,0,1,0
n,000398,0,0,0,1,0
n,000399,0,0,0,1,0
n,000400,1,0,0,1,3
n,000401,0,0,0,1,0
p,000402,0,0,0,1,0
n,000403,0,0,0,1,0
n,000404,0,0,0,1,0
n,000405,0,0,0,1,1
n,000406,0,0,0,1,1
n,000407,0,0,0,1,0
n,000408,0,0,0,1,3
n,000409,0,0,0,1,0
n,000410,0,0,0,1,0
n,000411,0,0,0,1,0
n,000412,0,0,0,1,0
n,000413,0,0,0,1,0
n,000414,0,0,0,1,13
n,000415,0,0,0,1,0
n,000416,0,0,0,1,1
n,000417,0,0,0,1,0
n,000418,0,0,0,1,0
n,000419,0,0,0,1,0
n,000420,0,0,0,1,0
n,000421,0,0,0,1,5
n,000422,0,0,0,1,0
n,000423,0,0,0,1,7
n,000424,0,0,0,1,0
n,000425,0,0,0,1,0
n,000426,0,0,0,1,0
n,000427,0,0,0,1,0
n,000428,0,0,0,1,0
n,000429,0,0,0,1,6
n,000430,0,0,0,1,1
n,000431,0,0,0,1,0
n,000432,0,0,0,1,0
n,000433,0,0,0,1,0
n,000434,0,0,0,1,3
n,000435,0,0,0,1,0
n,000436,1,0,0,1,1
n,000437,0,0,0,1,1
n,000438,0,0,0,1,0
n,000439,0,0,0,1,0
d,000440,1,0,0,1,0
n,000441,0,0,0,1,1
n,000442,0,0,0,1,0
n,000443,0,0,0,1,1
n,000444,0,0,0,1,0
n,000445,0,0,0,1,0
n,000446,0,0,0,1,6
n,000447,0,0,0,1,3
n,000448,0,0,0,1,0
d,000449,2,0,0,1,0
n,000450,0,0,0,1,0
n,000451,0,0,1,1,0
n,000452,0,0,0,1,7
n,000453,0,0,1,1,0
n,000454,0,0,0,1,4
n,000455,0,0,0,1,2
n,000456,0,0,0,1,7
n,000457,0,0,0,1,1
n,000458,0,0,0,1,1
n,000459,0,0,0,1,2
n,000460,0,0,0,1,22
n,000461,0,0,0,1,2
n,000462,0,0,0,1,4
n,000463,0,0,0,1,0
n,000464,0,0,0,1,0
n,000465,0,0,0,1,2
n,000466,0,0,0,1,0
n,000467,3,0,0,1,6
n,000468,1,0,0,1,18
n,000469,0,0,0,1,1
n,000470,0,0,0,1,6
n,000471,0,0,0,1,21
d,000472,0,0,0,1,0
n,000473,0,0,0,1,0
n,000474,0,0,0,1,0
n,000475,0,0,0,1,0
n,000476,0,0,0,1,0
n,000477,0,0,0,1,1
n,000478,0,0,0,1,0
n,000479,0,0,0,1,4
n,000480,0,0,0,1,3
n,000481,0,0,0,1,4
n,000482,0,0,0,1,0
n,000483,0,0,0,1,0
n,000484,0,0,0,1,0
n,000485,0,0,0,1,0
n,000486,0,0,0,1,0
n,000487,0,0,0,1,2
n,000488,0,0,1,1,0
n,000489,0,0,0,1,0
n,000490,0,0,0,1,0
n,000491,0,0,0,1,0
n,000492,0,0,0,1,0
n,000493,0,0,0,1,16
n,000494,0,0,0,1,5
n,000495,0,0,0,1,19
n,000496,0,0,0,1,4
n,000497,0,0,0,1,0
n,000498,0,0,0,1,0
n,000499,0,0,0,1,3
n,000500,0,0,0,1,0
n,000501,0,0,0,1,5
p,000502,0,0,0,1,0
n,000503,0,0,0,1,0
n,000504,0,0,0,1,15
n,000505,0,0,0,1,0
n,000506,0,0,0,1,0
n,000507,0,0,0,1,0
n,000508,0,0,0,1,0
n,000509,0,0,0,1,0
n,000510,0,0,0,1,0
n,000511,0,0,0,1,0
n,000512,0,0,0,1,2
n,000513,0,0,0,1,1
n,000514,0,0,0,1,0
n,000515,0,0,0,1,0
n,000516,0,0,0,1,0
n,000517,0,0,0,1,0
n,000518,0,0,0,1,0
n,000519,0,0,0,1,0
n,000520,0,0,0,1,7
n,000521,0,0,0,1,47
n,000522,0,0,0,1,0
n,000523,0,0,0,1,0
n,000524,0,0,0,1,0
n,000525,0,0,0,1,0
n,000526,0,0,0,1,5
n,000527,0,0,0,1,0
n,000528,0,0,0,1,0
n,000529,0,0,0,1,0
n,000530,0,0,0,1,0
n,000531,0,0,0,1,4
n,000532,0,0,0,1,0
n,000533,0,0,0,1,0
n,000534,0,0,0,1,0
n,000535,0,0,0,1,0
d,000536,0,0,0,1,0
n,000537,0,0,0,1,9
n,000538,0,0,0,1,0
n,000539,0,0,0,1,0
n,000540,0,0,0,1,0
n,000541,0,0,0,1,0
n,000542,0,0,0,1,0
n,000543,0,0,0,1,5
n,000544,0,0,0,1,0
n,000545,0,0,0,1,24
n,000546,0,0,0,1,0
n,000547,0,0,0,1,0
n,000548,0,0,0,1,0
n,000549,0,0,0,1,3
n,000550,0,0,0,1,0
n,000551,0,0,0,1,2
n,000552,0,0,0,1,0
n,000553,0,0,0,1,0
n,000554,0,0,0,1,1
n,000555,0,0,0,1,1
n,000556,0,0,0,1,0
n,000557,0,0,0,1,0
n,000558,0,0,0,1,0
n,000559,0,0,0,1,1
n,000560,0,0,0,1,17
n,000561,0,0,0,1,0
n,000562,0,0,0,1,54
n,000563,0,0,0,1,0
n,000564,0,0,0,1,2
n,000565,0,0,0,1,0
n,000566,0,0,0,1,2
n,000567,0,0,0,1,2
n,000568,0,0,0,1,5
n,000569,0,0,0,1,1
n,000570,0,0,0,1,0
n,000571,0,0,0,1,3
n,000572,0,0,0,1,0
n,000573,0,0,0,1,10
n,000574,0,0,0,1,0
n,000575,0,0,0,1,0
n,000576,0,0,0,1,1
n,000577,0,0,0,1,0
n,000578,0,0,0,1,0
n,000579,0,0,0,1,0
n,000580,0,0,0,1,0
n,000581,0,0,0,1,2
n,000582,0,0,0,1,0
n,000583,0,0,0,1,4
n,000584,0,0,0,1,0
n,000585,0,0,0,1,0
n,000586,0,0,0,1,0
n,000587,0,0,0,1,0
n,000588,0,0,0,1,0
n,000589,1,0,0,1,2
n,000590,0,0,0,1,0
n,000591,0,0,0,1,2
n,000592,0,0,0,1,0
n,000593,0,0,0,1,3
n,000594,0,0,0,1,0
n,000595,0,0,0,1,8
n,000596,0,0,0,1,2
n,000597,0,0,0,1,0
n,000598,0,0,0,1,1
n,000599,0,0,0,1,0
d,000600,0,0,0,1,0
n,000601,0,0,0,1,0
n,000602,0,0,0,1,14
d,000603,3,0,0,1,0
n,000604,0,0,0,1,0
n,000605,1,0,0,1,2
n,000606,0,0,0,1,0
n,000607,0,0,0,1,0
n,000608,0,0,0,1,0
n,000609,0,0,0,1,0
n,000610,0,0,0,1,0
n,000611,0,0,0,1,1
n,000612,0,0,0,1,0
n,000613,0,0,0,1,0
n,000614,0,0,0,1,7
n,000615,0,0,0,1,0
n,000616,0,0,0,1,17
n,000617,1,0,0,1,7
n,000618,0,0,0,1,0
n,000619,0,0,0,1,1
n,000620,0,0,0,1,2
n,000621,0,0,0,1,0
n,000622,0,0,0,1,0
n,000623,0,0,0,1,7
n,000624,0,0,0,1,0
n,000625,0,0,0,1,5
n,000626,0,0,0,1,0
n,000627,0,0,0,1,0
n,000628,0,0,0,1,0
n,000629,0,0,0,1,1
n,000630,0,0,0,1,1
n,000631,0,0,0,1,1
n,000632,0,0,0,1,0
n,000633,0,0,0,1,6
n,000634,0,0,0,1,10
n,000635,0,0,0,1,4
n,000636,0,0,0,1,1
n,000637,0,0,0,1,1
n,000638,0,0,0,1,0
n,000639,0,0,0,1,16
n,000640,0,0,0,1,0
n,000641,0,0,0,1,0
n,000642,0,0,0,1,0
n,000643,0,0,0,1,1
n,000644,0,0,0,1,0
n,000645,2,0,0,1,4
n,000646,0,0,0,1,0
n,000647,0,0,0,1,0
n,000648,0,0,0,1,0
n,000649,0,0,0,1,0
n,000650,0,0,0,1,0
n,000651,0,0,0,1,2
n,000652,0,0,0,1,2
n,000653,0,0,0,1,37
n,000654,0,0,0,1,6
n,000655,0,0,0,1,1
p,000656,0,0,0,1,0
n,000657,0,0,0,1,0
n,000658,0,0,0,1,34
n,000659,0,0,0,1,21
n,000660,0,0,0,1,0
n,000661,0,0,0,1,0
n,000662,0,0,0,1,2
n,000663,0,0,0,1,2
n,000664,0,0,0,1,15
n,000665,0,0,0,1,0
n,000666,0,0,0,1,17
n,000667,0,0,0,1,0
n,000668,0,0,0,1,1
n,000669,0,1,0,1,0
n,000670,0,0,0,1,0
n,000671,0,0,0,1,2
n,000672,0,0,0,1,0
n,000673,0,0,0,1,193
n,000674,0,0,0,1,0
n,000675,0,0,0,1,0
n,000676,0,0,0,1,0
n,000677,1,0,0,1,0
n,000678,0,0,0,1,0
n,000679,0,0,0,1,0
n,000680,0,0,0,1,0
n,000681,0,0,0,1,0
n,000682,0,0,0,1,0
n,000683,0,0,0,1,0
n,000684,0,0,0,1,0
n,000685,0,0,0,1,0
n,000686,0,0,0,1,1
n,000687,0,0,0,1,2
n,000688,0,0,0,1,0
n,000689,0,0,0,1,0
n,000690,0,0,0,1,0
n,000691,0,0,0,1,0
n,000692,0,0,0,1,0
n,000693,0,0,0,1,0
n,000694,0,0,0,1,0
n,000695,0,0,0,1,8
n,000696,0,0,0,1,0
n,000697,0,0,0,1,0
n,000698,0,0,0,1,6
n,000699,0,0,0,1,0
n,000700,0,0,0,1,0
n,000701,0,0,0,1,0
n,000702,0,0,0,1,0
n,000703,0,0,0,1,0
n,000704,0,0,0,1,0
n,000705,0,0,0,1,0
n,000706,0,0,0,1,0
n,000707,0,0,0,1,0
n,000708,0,0,0,1,0
n,000709,0,0,0,1,2
n,000710,0,0,0,1,0
n,000711,0,0,0,1,0
n,000712,0,0,0,1,0
n,000713,0,0,0,1,1
n,000714,0,0,0,1,0
n,000715,0,0,0,1,0
n,000716,0,0,0,1,0
n,000717,0,0,0,1,0
n,000718,0,0,0,1,0
n,000719,0,0,0,1,0
n,000720,0,0,0,1,0
n,000721,0,0,0,1,1
n,000722,0,0,0,1,17
n,000723,0,0,0,1,2
n,000724,1,0,0,1,4
d,000725,1,0,0,1,4
n,000726,0,0,0,1,9
n,000727,0,0,0,1,1
n,000728,0,0,0,1,0
n,000729,1,0,0,1,16
n,000730,0,0,0,1,6
n,000731,0,0,0,1,1
n,000732,0,0,0,1,0
n,000733,0,0,0,1,0
n,000734,0,1,0,1,0
n,000735,1,0,0,1,4
n,000736,1,0,0,1,0
n,000737,0,0,0,1,0
n,000738,0,0,0,1,5
n,000739,0,0,0,1,6
n,000740,0,0,0,1,0
n,000741,0,0,0,1,7
n,000742,0,0,0,1,0
n,000743,0,0,0,1,1
n,000744,0,0,0,1,2
n,000745,0,0,0,1,2
n,000746,0,0,0,1,0
n,000747,0,0,0,1,0
n,000748,0,0,0,1,0
n,000749,0,0,0,1,0
n,000750,1,0,0,1,5
n,000751,0,0,0,1,0
n,000752,0,0,0,1,5
n,000753,0,0,0,1,12
n,000754,0,0,0,1,3
n,000755,0,0,0,1,0
n,000756,0,0,0,1,0
n,000757,0,0,0,1,0
n,000758,0,0,0,1,0
n,000759,0,0,0,1,8
n,000760,0,0,0,1,0
n,000761,0,0,0,1,4
n,000762,0,0,0,1,1
n,000763,0,0,0,1,0
n,000764,0,0,0,1,0
n,000765,0,0,0,1,0
n,000766,0,0,0,1,0
n,000767,0,0,0,1,0
n,000768,0,0,0,1,0
n,000769,0,0,0,1,0
n,000770,0,0,0,1,5
n,000771,1,0,1,1,5
n,000772,0,0,0,1,0
n,000773,0,0,0,1,0
d,000774,5,0,0,1,0
n,000775,0,0,0,1,0
n,000776,0,0,0,1,0
n,000777,0,0,0,1,0
n,000778,0,0,0,1,0
n,000779,0,0,0,1,0
n,000780,0,0,0,1,2
n,000781,0,0,0,1,0
n,000782,0,0,0,1,35
n,000783,0,0,0,1,0
n,000784,1,0,0,1,0
n,000785,0,0,0,1,0
n,000786,0,0,0,1,0
n,000787,1,0,0,1,0
n,000788,0,0,0,1,0
n,000789,0,0,0,1,0
n,000790,0,0,0,1,3
n,000791,0,0,0,1,4
n,000792,0,0,0,1,2
n,000793,0,0,0,1,4
n,000794,0,0,0,1,0
n,000795,0,0,0,1,0
n,000796,0,0,0,1,1
n,000797,0,0,0,1,0
n,000798,0,0,0,1,0
n,000799,0,0,0,1,0
n,000800,0,0,0,1,0
n,000801,0,0,0,1,0
n,000802,0,0,0,1,0
n,000803,0,0,0,1,0
n,000804,1,0,0,1,0
n,000805,0,0,0,1,0
n,000806,0,0,0,1,0
n,000807,0,0,0,1,27
n,000808,0,0,0,1,0
n,000809,0,0,0,1,1
n,000810,0,0,0,1,7
n,000811,0,0,0,1,0
n,000812,0,0,0,1,3
n,000813,2,0,0,1,0
n,000814,0,0,0,1,3
n,000815,0,0,0,1,1
n,000816,0,0,0,1,0
n,000817,0,0,0,1,0
n,000818,0,0,0,1,2
n,000819,1,0,0,1,4
n,000820,0,0,0,1,0
n,000821,0,0,0,1,0
n,000822,1,0,0,1,6
n,000823,0,0,0,1,1
n,000824,0,0,0,1,15
n,000825,0,0,0,1,0
n,000826,0,0,0,1,0
n,000827,0,0,0,1,0
n,000828,0,0,0,1,0
n,000829,0,0,0,1,5
n,000830,0,0,0,1,0
n,000831,0,0,0,1,2
n,000832,0,0,0,1,0
n,000833,0,0,0,1,0
n,000834,0,0,0,1,0
n,000835,0,0,0,1,0
n,000836,0,0,0,1,39
n,000837,0,0,0,1,0
n,000838,0,0,0,1,0
n,000839,0,0,0,1,47
n,000840,0,0,0,1,0
n,000841,0,0,0,1,0
n,000842,0,0,1,1,5
n,000843,0,0,0,1,3
n,000844,0,0,0,1,0
n,000845,0,0,0,1,0
n,000846,0,0,0,1,1
n,000847,0,0,0,1,0
n,000848,0,0,0,1,3
n,000849,0,0,0,1,2
n,000850,1,0,0,1,0
n,000851,0,0,0,1,5
n,000852,0,0,0,1,1
n,000853,0,0,0,1,0
n,000854,0,0,0,1,7
n,000855,1,0,0,1,0
n,000856,0,0,0,1,2
n,000857,1,0,0,1,1
n,000858,1,0,0,1,0
n,000859,0,0,0,1,2
n,000860,0,0,0,1,0
n,000861,0,0,0,1,0
n,000862,0,0,0,1,0
n,000863,0,0,0,1,0
n,000864,0,0,0,1,0
n,000865,0,0,0,1,0
n,000866,0,0,0,1,0
n,000867,0,0,0,1,20
n,000868,0,0,0,1,0
n,000869,0,0,0,1,0
n,000870,0,0,0,1,1
n,000871,0,0,0,1,0
n,000872,0,0,0,1,0
n,000873,0,0,0,1,26
n,000874,0,0,0,1,1
n,000875,0,0,0,1,0
n,000876,0,0,0,1,0
n,000877,0,0,0,1,4
n,000878,0,0,0,1,0
n,000879,1,0,0,1,8
n,000880,0,0,0,1,0
n,000881,0,0,0,1,2
n,000882,0,0,0,1,0
n,000883,0,0,0,1,0
n,000884,1,0,0,1,1
n,000885,0,0,0,1,42
n,000886,0,0,0,1,0
n,000887,0,0,0,1,0
n,000888,0,0,0,1,1
n,000889,0,0,0,1,0
n,000890,1,0,0,1,1
n,000891,0,0,0,1,0
n,000892,0,0,0,1,0
n,000893,0,0,0,1,0
n,000894,0,0,0,1,0
n,000895,0,0,0,1,0
n,000896,0,0,0,1,5
n,000897,0,0,0,1,0
n,000898,0,0,0,1,0
n,000899,0,0,0,1,2
n,000900,0,0,0,1,0
n,000901,0,0,0,1,0
n,000902,0,0,0,1,3
n,000903,0,0,0,1,0
n,000904,0,0,0,1,25
n,000905,0,0,0,1,2
n,000906,0,0,0,1,0
n,000907,0,0,0,1,0
n,000908,0,0,0,1,1
n,000909,0,0,0,1,0
d,000910,0,0,0,1,1
n,000911,0,0,0,1,0
n,000912,0,0,0,1,0
n,000913,0,0,0,1,1
n,000914,0,0,0,1,0
n,000915,0,0,0,1,10
n,000916,0,0,0,1,6
n,000917,0,0,0,1,1
n,000918,0,0,0,1,8
n,000919,0,0,0,1,0
n,000920,0,0,0,1,1
n,000921,0,0,0,1,3
n,000922,0,0,0,1,2
n,000923,1,0,0,1,7
n,000924,0,0,0,1,3
n,000925,0,0,0,1,2
n,000926,0,0,0,1,0
n,000927,0,0,0,1,0
n,000928,0,0,0,1,4
n,000929,0,0,0,1,0
n,000930,0,0,0,1,13
